City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Taguisa,PH,6.6983,124.0358,79.0,84,100,4.85,overcast clouds
187,Hokitika,NZ,-42.7167,170.9667,44.98,70,0,6.87,clear sky
188,Bambous Virieux,MU,-20.3428,57.7575,73.65,79,40,11.3,light rain
189,Saint-Joseph,RE,-21.3667,55.6167,71.96,83,80,11.83,light rain
190,Rocha,UY,-34.4833,-54.3333,55.76,92,100,23.04,overcast clouds
191,Itarema,BR,-2.9248,-39.9167,83.91,68,12,12.66,few clouds
192,New Norfolk,AU,-42.7826,147.0587,48.76,81,100,2.82,overcast clouds
193,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.56,57,75,17.27,broken clouds
194,Kenai,US,60.5544,-151.2583,59.02,41,1,5.75,clear sky
195,Freeport,US,40.6576,-73.5832,92.1,45,40,1.99,scattered clouds
196,Quibor,VE,9.9287,-69.6201,72.57,49,100,12.44,overcast clouds
197,Vega De Alatorre,MX,20.0333,-96.6333,84.61,65,7,9.95,clear sky
198,Nanortalik,GL,60.1432,-45.2371,36.36,74,100,9.24,overcast clouds
199,Velizh,RU,55.6056,31.1967,46.58,98,39,5.32,scattered clouds
200,Carutapera,BR,-1.195,-46.02,83.25,77,100,8.75,overcast clouds
201,Chulym,RU,55.0997,80.9572,60.91,90,100,14.72,moderate rain
202,Espinosa,BR,-14.9261,-42.8192,93.27,22,91,2.01,overcast clouds
203,Sarakhs,IR,36.5449,61.1577,81.19,10,0,7.05,clear sky
204,Hobyo,SO,5.3505,48.5268,79.47,75,73,22.88,broken clouds
205,Kholm,RU,59.2667,32.85,49.69,92,100,8.86,overcast clouds
206,Sobolevo,RU,54.4299,31.8996,48.33,94,0,7.31,clear sky
207,Fuyang,CN,32.9,115.8167,60.94,87,92,4.29,light rain
208,San Jeronimo,PE,-11.9472,-75.2829,56.75,62,85,4.68,overcast clouds
209,Karasjok,NO,69.4719,25.5112,37.51,76,88,9.42,overcast clouds
210,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,86,75,12.66,broken clouds
211,Usinsk,RU,65.9939,57.5281,37.18,55,98,22.7,overcast clouds
212,Cayenne,GF,4.9333,-52.3333,77.09,90,100,1.01,very heavy rain
213,San Andres,CO,12.5847,-81.7006,87.82,70,40,17.27,scattered clouds
214,Gigmoto,PH,13.7796,124.39,80.67,83,12,5.55,few clouds
215,Longyearbyen,SJ,78.2186,15.6401,28.24,59,20,16.11,few clouds
216,Deputatskiy,RU,69.3,139.9,24.08,86,12,3.18,few clouds
217,Dakar,SN,14.6937,-17.4441,74.28,78,75,16.11,broken clouds
218,Barrow,US,71.2906,-156.7887,30.2,86,90,18.41,overcast clouds
219,Challapata,BO,-18.9,-66.7667,53.83,13,100,8.39,overcast clouds
220,Sept-Iles,CA,50.2001,-66.3821,54.12,43,75,10.0,broken clouds
221,Carnarvon,AU,-24.8667,113.6333,59.07,100,94,2.3,overcast clouds
222,Svetlogorsk,BY,52.6333,29.7333,50.7,93,83,5.88,broken clouds
223,Winslow,US,35.0242,-110.6974,64.58,7,1,6.91,clear sky
